"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2021","397.05","387.94","397.42","383.88","73.86M","2.28%"
"12/14/2021","388.20","387.30","390.09","383.63","75.20M","-1.04%"
"12/13/2021","392.26","398.00","398.33","391.88","50.17M","-1.44%"
"12/10/2021","398.01","396.62","398.28","393.36","52.55M","1.09%"
"12/09/2021","393.73","398.35","400.20","393.53","49.97M","-1.47%"
"12/08/2021","399.61","398.17","399.82","396.22","39.20M","0.45%"
"12/07/2021","397.83","393.03","398.46","392.99","56.01M","3.01%"
"12/06/2021","386.20","383.63","387.60","379.30","67.59M","0.80%"
"12/03/2021","383.13","391.31","392.34","378.90","105.35M","-1.74%"
"12/02/2021","389.91","385.80","391.74","384.34","84.42M","0.72%"
"12/01/2021","387.12","398.28","400.48","386.64","78.38M","-1.70%"
"11/30/2021","393.82","398.78","401.19","391.75","81.33M","-1.47%"
"11/29/2021","399.69","395.89","400.73","395.14","54.45M","2.17%"
"11/26/2021","391.20","396.11","397.54","389.77","51.53M","-1.90%"
"11/24/2021","398.76","394.93","399.05","392.54","46.95M","0.32%"
"11/23/2021","397.48","398.11","400.23","392.92","70.10M","-0.46%"
"11/22/2021","399.30","405.57","408.71","399.19","61.72M","-1.16%"
"11/19/2021","403.99","403.43","405.30","402.58","45.19M","0.56%"
"11/18/2021","401.75","399.73","402.27","397.45","45.72M","1.04%"
"11/17/2021","397.63","397.75","399.72","396.64","28.70M","0.05%"
"11/16/2021","397.42","393.86","397.93","393.66","27.87M","0.71%"
"11/15/2021","394.61","395.91","396.24","392.10","33.72M","-0.02%"
"11/12/2021","394.70","391.77","395.25","390.13","34.73M","1.05%"
"11/11/2021","390.59","392.57","392.75","390.24","32.24M","0.28%"
"11/10/2021","389.51","392.47","395.36","387.53","54.94M","-1.47%"
"11/09/2021","395.32","399.16","399.57","393.92","50.49M","-0.69%"
"11/08/2021","398.06","398.57","399.62","397.40","29.26M","-0.14%"
"11/05/2021","398.60","400.04","400.99","397.16","43.38M","0.10%"
"11/04/2021","398.22","394.48","399.20","393.92","40.27M","1.28%"
"11/03/2021","393.18","389.55","393.61","388.48","33.75M","1.06%"
"11/02/2021","389.05","386.80","389.54","386.75","25.14M","0.42%"
"11/01/2021","387.43","386.56","387.56","384.42","30.77M","0.34%"
"10/29/2021","386.11","381.06","386.28","380.70","37.31M","0.49%"
"10/28/2021","384.22","381.95","384.48","381.15","38.01M","1.11%"
"10/27/2021","380.00","379.58","383.15","379.31","45.76M","0.23%"
"10/26/2021","379.12","380.23","382.71","377.90","47.19M","0.31%"
"10/25/2021","377.93","375.56","378.87","373.56","32.60M","1.02%"
"10/22/2021","374.10","375.98","376.97","372.39","36.28M","-0.84%"
"10/21/2021","377.27","374.16","377.47","373.85","25.47M","0.61%"
"10/20/2021","374.98","375.94","376.57","373.46","31.39M","-0.13%"
"10/19/2021","375.47","373.75","375.52","372.70","29.09M","0.76%"
"10/18/2021","372.65","367.61","372.87","366.99","34.51M","1.01%"
"10/15/2021","368.94","367.88","369.06","366.82","40.42M","0.63%"
"10/14/2021","366.63","363.69","366.85","363.01","43.43M","1.84%"
"10/13/2021","360.00","359.51","360.69","357.43","40.12M","0.80%"
"10/12/2021","357.14","359.88","360.33","356.48","43.91M","-0.35%"
"10/11/2021","358.39","359.58","363.20","358.30","34.85M","-0.77%"
"10/08/2021","361.16","364.08","364.32","360.61","41.82M","-0.50%"
"10/07/2021","362.97","362.80","365.69","362.25","39.41M","0.92%"
"10/06/2021","359.67","354.08","359.95","353.15","56.81M","0.64%"
"10/05/2021","357.38","353.71","359.69","353.48","47.23M","1.35%"
"10/04/2021","352.62","358.52","358.86","350.32","76.77M","-2.10%"
"10/01/2021","360.18","358.60","361.25","354.38","56.38M","0.62%"
"09/30/2021","357.96","360.97","362.68","357.10","61.38M","-0.37%"
"09/29/2021","359.28","361.17","363.37","358.64","58.08M","-0.16%"
"09/28/2021","359.87","365.67","370.30","359.35","97.70M","-2.83%"
"09/27/2021","370.35","370.20","371.25","367.73","43.34M","-0.80%"
"09/24/2021","373.33","370.65","373.76","370.27","36.06M","0.09%"
"09/23/2021","372.98","370.76","374.04","370.10","44.65M","0.92%"
