,DAA
2020-06-29,129.89264749119994
2020-06-30,130.24860058999994
2020-07-01,130.64364180249996
2020-07-02,131.69042733999993
2020-07-06,133.90916490249992
2020-07-07,132.9673946899999
2020-07-08,134.33237265249994
2020-07-09,134.02449511499995
2020-07-10,134.4573396649999
2020-07-13,133.4671939149999
2020-07-14,134.42231131499992
2020-07-15,135.5417764524999
2020-07-16,134.69974830249993
2020-07-17,135.1485243274999
2020-07-20,136.38265533999993
2020-07-21,137.03857812749996
2020-07-22,137.57959283999998
2020-07-23,136.81315986499996
2020-07-24,136.21975150249995
2020-07-27,137.75040278999992
2020-07-28,137.04562000249993
2020-07-29,138.6573333399999
2020-07-30,138.1994833274999
2020-07-31,138.6774622149999
2020-08-03,139.5878622149999
2020-08-04,140.9003642149999
2020-08-05,141.83235321499993
2020-08-06,142.76893721499988
2020-08-07,141.8716722149999
2020-08-10,141.90529921499987
2020-08-11,139.49080821499987
2020-08-12,140.47493521499987
2020-08-13,140.63053221499985
2020-08-14,140.43509121499986
2020-08-17,141.71369021499987
2020-08-18,142.21218121499987
2020-08-19,140.7982592149999
2020-08-20,141.39743721499988
2020-08-21,141.57157421499988
2020-08-24,142.29333921499986
2020-08-25,142.67475021499985
2020-08-26,143.49811421499987
2020-08-27,142.75157221499987
2020-08-28,143.91265521499986
2020-08-31,143.45103521499985
2020-09-01,144.45510126609986
2020-09-02,145.32034241369985
2020-09-03,143.58253596499983
2020-09-04,141.98360037679984
2020-09-08,140.72880866489984
2020-09-09,141.31954304859985
2020-09-10,140.98436260469987
2020-09-11,141.16257539259985
2020-09-14,142.11526346229985
2020-09-15,142.38695141289986
2020-09-16,141.98619404899986
2020-09-17,141.39150389249986
2020-09-18,140.80628781639987
2020-09-21,140.78631818859984
2020-09-22,141.33736015599985
2020-09-23,139.97274697569983
2020-09-24,139.90268481409984
2020-09-25,140.89068749539985
2020-09-28,142.06364900909986
2020-09-29,142.06973946659988
2020-09-30,141.63142518699988
2020-10-01,142.92875304149987
2020-10-02,141.6912741352999
2020-10-05,144.0039007420999
2020-10-06,143.1121275720999
2020-10-07,144.60748820829988
2020-10-08,145.62480712429988
2020-10-09,146.9080164185999
2020-10-12,148.4153682546999
2020-10-13,147.6304875673999
2020-10-14,147.00569192449993
2020-10-15,146.7585182438999
2020-10-16,146.33067403289994
2020-10-19,145.45615424419992
2020-10-20,145.8319903514999
2020-10-21,146.1819373183999
2020-10-22,146.1867223078999
2020-10-23,146.6377299148999
2020-10-26,144.83983830429992
2020-10-27,144.9474051359999
2020-10-28,141.3955810474999
2020-10-29,142.3875372007999
2020-10-30,140.6571164098999
2020-11-02,141.5507474098999
2020-11-03,142.4122314098999
2020-11-04,145.5192464098999
2020-11-05,147.2271834098999
2020-11-06,146.6635914098999
